PROVINCIE,GEMEENTENUMMER,GEMEENTENAAM,SOORT INSTELLING,BRIN NUMMER ACTUEEL,INSTELLINGSNAAM ACTUEEL,CROHO ONDERDEEL,CROHO SUBONDERDEEL,OPLEIDINGSCODE ACTUEEL,OPLEIDINGSNAAM ACTUEEL,OPLEIDINGSVORM,OPLEIDINGSFASE ACTUEEL,SOORT DIPLOMA,2011 MAN,2011 VROUW,2012 MAN,2012 VROUW,2013 MAN,2013 VROUW,2014 MAN,2014 VROUW,2015 MAN,2015 VROUW
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),56824,B Kunstgeschiedenis,voltijd onderwijs,bachelor,wo bachelor,6,25,2,20,5,12,2,15,3,10
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),56826,B Communicatie- en Informatiewetenschappen,voltijd onderwijs,bachelor,wo bachelor,31,68,15,60,11,64,12,47,11,66
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),57084,B Wijsbegeerte van een Bepaald Wetenschapsgebied,deeltijd onderwijs,bachelor,wo bachelor,6,4,5,3,3,1,3,0,2,1
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),57084,B Wijsbegeerte van een Bepaald Wetenschapsgebied,voltijd onderwijs,bachelor,wo bachelor,12,13,8,6,16,8,12,8,10,18
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60039,M Oudheidstudies (research),voltijd onderwijs,master,wo master,0,0,0,0,0,2,2,0,2,1
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60087,M Kunst- & cultuurwetenschappen,voltijd onderwijs,master,wo master,0,0,2,6,14,17,13,39,9,32
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60128,M Filosofie (research),deeltijd onderwijs,master,wo master,0,0,0,0,1,0,1,0,0,1
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60128,M Filosofie (research),voltijd onderwijs,master,wo master,0,0,0,1,0,0,2,3,10,1
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60133,M Archeologie (research),voltijd onderwijs,master,wo master,0,0,0,0,0,0,2,2,1,6
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60139,M Geschiedenis (research),voltijd onderwijs,master,wo master,0,0,1,0,0,3,7,0,4,2
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60173,M Linguistics: Neurolinguistics and Models of Grammar (research),voltijd onderwijs,master,wo master,7,9,1,4,0,2,1,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60600,M Religion and Culture (research),voltijd onderwijs,master,wo master,1,3,2,2,0,1,0,1,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60601,M Geestelijke Verzorging,deeltijd onderwijs,master,wo master,3,5,1,3,2,2,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60601,M Geestelijke Verzorging,voltijd onderwijs,master,wo master,0,0,1,1,0,1,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60623,M American Studies,voltijd onderwijs,master,wo master,4,7,1,2,0,0,0,1,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60624,M Euroculture,voltijd onderwijs,master,wo master,14,23,1,6,0,0,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60626,M Humanitarian Action,voltijd onderwijs,master,wo master,13,16,4,11,1,2,5,19,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60627,M Internationale Betrekkingen en Internationale Organisatie,voltijd onderwijs,master,wo master,47,62,27,30,7,25,6,10,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60628,M Journalistiek,voltijd onderwijs,master,wo master,15,28,13,16,3,6,0,1,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60629,"M Kunsten, Cultuur en Media",voltijd onderwijs,master,wo master,11,38,4,25,2,8,0,4,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60630,M Toegepaste Taalwetenschap,voltijd onderwijs,master,wo master,3,12,1,1,0,0,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60638,"M Classical, Medieval and Renaissance Studies (CMRS) : Text and Context in Premodern and Early Modern Times (research)",voltijd onderwijs,master,wo master,3,3,2,6,1,1,1,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60639,"M Art History and Archaeology: Material Culture Studies in Art, Architecture and Archaeology (research)",voltijd onderwijs,master,wo master,2,11,6,6,2,5,2,4,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60640,M Literary and Cultural Studies:Literature and Performing Arts in Society (research),voltijd onderwijs,master,wo master,3,3,1,5,1,2,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60641,M Modern History and International Relations: Transformation and Acceptance (research),voltijd onderwijs,master,wo master,12,5,3,6,5,2,1,2,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60655,M Philosophy: Knowledge and Knowledge Development (research),deeltijd onderwijs,master,wo master,1,0,0,0,0,0,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60655,M Philosophy: Knowledge and Knowledge Development (research),voltijd onderwijs,master,wo master,0,0,3,0,2,1,1,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60671,M Algemene Taalwetenschap,voltijd onderwijs,master,wo master,2,2,0,1,0,1,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60672,M Duitse Taal en Cultuur,voltijd onderwijs,master,wo master,0,1,0,1,0,0,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60673,M Engelse Taal en Cultuur,voltijd onderwijs,master,wo master,0,5,1,9,1,2,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60674,M Finoegrische Talen en Culturen,voltijd onderwijs,master,wo master,0,0,1,0,0,0,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60677,M Nederlandse Taal en Cultuur,voltijd onderwijs,master,wo master,0,2,1,6,0,4,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60678,M Romaanse Talen en Culturen,voltijd onderwijs,master,wo master,0,1,1,2,1,4,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60679,M Scandinavische Talen en Culturen,voltijd onderwijs,master,wo master,0,0,0,0,0,2,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60680,M Slavische Talen en Culturen,voltijd onderwijs,master,wo master,0,1,1,0,0,0,1,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60734,M Internationale betrekkingen,voltijd onderwijs,master,wo master,0,0,5,8,10,16,33,46,48,49
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60805,M Archeologie,voltijd onderwijs,master,wo master,4,9,2,5,3,4,3,4,1,2
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60813,M Letterkunde,voltijd onderwijs,master,wo master,1,0,5,11,7,24,7,24,5,20
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60814,M Letterkunde (research),voltijd onderwijs,master,wo master,0,0,0,0,2,3,1,2,0,3
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60815,M Taalwetenschappen,voltijd onderwijs,master,wo master,0,0,2,20,9,43,6,61,8,43
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60817,M Taalwetenschappen (research),voltijd onderwijs,master,wo master,3,5,4,18,4,11,8,12,7,17
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60819,M Internationale Betrekkingen,voltijd onderwijs,master,wo master,0,0,0,2,3,14,8,42,2,12
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60820,M Internationale Betrekkingen (research),voltijd onderwijs,master,wo master,0,0,0,0,0,0,1,3,2,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60821,M Oudheidstudies,deeltijd onderwijs,master,wo master,0,0,0,0,0,0,0,1,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60821,M Oudheidstudies,voltijd onderwijs,master,wo master,0,0,0,0,0,0,0,0,0,2
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60822,M Filosofie,deeltijd onderwijs,master,wo master,0,0,0,2,4,1,1,0,1,3
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60822,M Filosofie,voltijd onderwijs,master,wo master,0,1,3,4,4,2,6,4,7,5
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60823,M Filosofie,deeltijd onderwijs,master,wo master,0,0,0,0,0,0,1,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60823,M Filosofie,voltijd onderwijs,master,wo master,0,0,0,0,0,1,3,0,1,2
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60824,M Theologie & Religiewetenschappen,deeltijd onderwijs,master,wo master,0,0,1,0,0,3,2,6,2,6
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60824,M Theologie & Religiewetenschappen,voltijd onderwijs,master,wo master,0,0,2,0,0,6,4,9,4,12
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60827,M Theologie & Religiewetenschappen (research),voltijd onderwijs,master,wo master,0,0,0,0,0,0,0,1,2,1
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60829,M Kunst- & cultuurwetenschappen (research),voltijd onderwijs,master,wo master,0,0,0,0,3,0,2,4,0,6
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60831,M Mediastudies,voltijd onderwijs,master,wo master,0,0,2,1,6,15,15,17,15,30
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60842,M Midden-Oosten Studies,voltijd onderwijs,master,wo master,0,0,0,0,1,2,3,4,3,2
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60845,M Noord-Amerika Studies,voltijd onderwijs,master,wo master,0,0,1,0,1,5,5,4,2,5
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60847,M Europese Studies,voltijd onderwijs,master,wo master,0,0,6,14,9,22,7,18,4,15
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),60849,M Neerlandistiek,voltijd onderwijs,master,wo master,0,1,1,16,1,7,4,8,0,17
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),66003,M Griekse en Latijnse Taal en Cultuur,deeltijd onderwijs,master,wo master,0,1,0,0,0,0,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),66012,M Friese Taal en Cultuur,deeltijd onderwijs,master,wo master,2,2,0,0,0,0,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),66012,M Friese Taal en Cultuur,voltijd onderwijs,master,wo master,0,1,0,0,0,0,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),66034,M Geschiedenis,deeltijd onderwijs,master,wo master,3,2,4,1,6,2,5,3,4,1
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),66034,M Geschiedenis,voltijd onderwijs,master,wo master,29,14,22,16,17,13,11,11,16,11
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),66058,M Speech and Language Pathology,voltijd onderwijs,master,wo master,0,10,0,6,0,2,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),66074,M Romaanse Talen en Culturen,voltijd onderwijs,master,wo master,1,7,0,0,0,0,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),66081,M Wijsbegeerte,deeltijd onderwijs,master,wo master,2,0,1,0,0,1,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),66081,M Wijsbegeerte,voltijd onderwijs,master,wo master,5,2,1,3,0,0,1,1,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),66104,M Godsdienstwetenschap,deeltijd onderwijs,master,wo master,2,3,0,1,0,0,1,2,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),66104,M Godsdienstwetenschap,voltijd onderwijs,master,wo master,2,7,0,1,0,3,1,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),66121,M Theologie,deeltijd onderwijs,master,wo master,0,1,1,1,0,0,0,1,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),66121,M Theologie,voltijd onderwijs,master,wo master,1,0,1,0,0,0,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),66804,M Nederlandse Taal en Cultuur,voltijd onderwijs,master,wo master,0,8,0,0,0,0,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),66805,M Duitse Taal en Cultuur,voltijd onderwijs,master,wo master,2,4,0,0,0,0,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),66806,M Engelse Taal en Cultuur,voltijd onderwijs,master,wo master,0,4,0,0,0,0,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),66807,M Scandinavische Talen en Culturen,voltijd onderwijs,master,wo master,0,3,0,0,0,0,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),66813,M Slavische Talen en Culturen,voltijd onderwijs,master,wo master,1,1,0,0,0,0,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),66817,M Talen en Culturen van het Midden-Oosten,voltijd onderwijs,master,wo master,3,1,0,0,0,0,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),66824,M Kunstgeschiedenis,voltijd onderwijs,master,wo master,6,14,5,9,2,13,1,1,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),66826,M Communicatie- & Informatiewetenschappen,duaal onderwijs,master,wo master,1,0,0,0,0,0,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),66826,M Communicatie- & Informatiewetenschappen,voltijd onderwijs,master,wo master,13,40,18,51,23,39,14,38,28,49
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),67084,M Wijsbegeerte van een Bepaald Wetenschapsgebied,deeltijd onderwijs,master,wo master,3,0,0,0,1,0,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),67084,M Wijsbegeerte van een Bepaald Wetenschapsgebied,voltijd onderwijs,master,wo master,2,0,1,0,0,0,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,techniek,n.v.t. (techniek),56960,B Scheikundige Technologie,voltijd onderwijs,bachelor,wo bachelor,10,3,4,2,5,1,16,1,19,6
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,techniek,n.v.t. (techniek),56962,B Technische Natuurkunde,voltijd onderwijs,bachelor,wo bachelor,34,1,17,3,11,1,20,1,17,1
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,techniek,n.v.t. (techniek),56965,B Technische Wiskunde,voltijd onderwijs,bachelor,wo bachelor,3,0,7,1,3,2,1,2,3,2
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,techniek,n.v.t. (techniek),56994,B Technische Bedrijfskunde,voltijd onderwijs,bachelor,wo bachelor,96,13,72,7,61,12,76,18,59,18
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,techniek,n.v.t. (techniek),60029,M Industrial Engineering and Management,voltijd onderwijs,master,wo master,35,3,34,2,59,9,49,8,49,5
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,techniek,n.v.t. (techniek),60348,M Applied Mathematics,voltijd onderwijs,master,wo master,1,5,3,1,7,1,2,2,2,1
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,techniek,n.v.t. (techniek),60436,M Applied Physics,voltijd onderwijs,master,wo master,8,1,13,3,12,0,14,1,9,1
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,techniek,n.v.t. (techniek),60437,M Chemical Engineering,voltijd onderwijs,master,wo master,9,2,13,0,5,3,6,3,15,3
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,techniek,n.v.t. (techniek),65005,M Water Technology (joint degree),voltijd onderwijs,master,wo master,0,0,3,1,0,0,0,0,0,0
Groningen,14,GRONINGEN,reguliere inst.,21PC,Rijksuniversiteit Groningen,techniek,n.v.t. (techniek),66226,M Biomedical Engineering,voltijd onderwijs,master,wo master,13,9,11,9,25,14,23,9,16,17
Groningen,14,GRONINGEN,reguliere inst.,25BE,Hanzehogeschool Groningen,techniek,n.v.t. (techniek),69299,M European Master in Renewable Energy,voltijd onderwijs,master,wo master,0,0,0,0,0,0,4,1,7,0
Limburg,935,MAASTRICHT,WO kleine univ.,27YA,transnationale Universiteit Limburg,natuur,n.v.t. (natuur),60125,M Operations Research,voltijd onderwijs,master,wo master,4,5,7,1,8,4,6,4,13,0
Limburg,935,MAASTRICHT,WO kleine univ.,27YA,transnationale Universiteit Limburg,natuur,n.v.t. (natuur),60303,M Molecular Life Sciences,voltijd onderwijs,master,wo master,15,24,0,0,0,0,0,0,0,0
Limburg,935,MAASTRICHT,WO kleine univ.,27YA,transnationale Universiteit Limburg,natuur,n.v.t. (natuur),66981,M Artificial Intelligence,voltijd onderwijs,master,wo master,19,5,14,2,14,0,24,2,13,2
Limburg,935,MAASTRICHT,WO kleine univ.,27YA,transnationale Universiteit Limburg,natuur,n.v.t. (natuur),66990,M Biomedical Sciences,voltijd onderwijs,master,wo master,0,1,30,24,29,25,17,29,23,44
Limburg,935,MAASTRICHT,reguliere inst.,21PJ,Universiteit Maastricht,economie,n.v.t. (economie),50019,B International Business,voltijd onderwijs,bachelor,wo bachelor,204,156,244,154,229,183,254,195,264,201
Limburg,935,MAASTRICHT,reguliere inst.,21PJ,Universiteit Maastricht,economie,n.v.t. (economie),50950,B Economie en Bedrijfseconomie,voltijd onderwijs,bachelor,wo bachelor,198,84,147,63,124,54,131,52,130,69
Limburg,935,MAASTRICHT,reguliere inst.,21PJ,Universiteit Maastricht,economie,n.v.t. (economie),56402,B Fiscale Economie,voltijd onderwijs,bachelor,wo bachelor,12,7,18,9,22,11,20,10,20,10
Limburg,935,MAASTRICHT,reguliere inst.,21PJ,Universiteit Maastricht,economie,n.v.t. (economie),56833,B Econometrie en Operationele Research,voltijd onderwijs,bachelor,wo bachelor,19,5,17,12,19,6,23,11,34,25
Limburg,935,MAASTRICHT,reguliere inst.,21PJ,Universiteit Maastricht,economie,n.v.t. (economie),60001,M Management of Learning,voltijd onderwijs,master,wo master,6,17,2,22,9,25,10,34,9,21
Limburg,935,MAASTRICHT,reguliere inst.,21PJ,Universiteit Maastricht,economie,n.v.t. (economie),60012,M Economic and Financial Research (research),voltijd onderwijs,master,wo master,5,2,4,0,7,4,7,2,8,7
Limburg,935,MAASTRICHT,reguliere inst.,21PJ,Universiteit Maastricht,economie,n.v.t. (economie),60013,M Business Research (research),voltijd onderwijs,master,wo master,0,0,1,3,2,2,1,2,1,0
Limburg,935,MAASTRICHT,reguliere inst.,21PJ,Universiteit Maastricht,economie,n.v.t. (economie),60014,M Economic Studies,voltijd onderwijs,master,wo master,22,20,20,16,23,15,0,0,0,0
Limburg,935,MAASTRICHT,reguliere inst.,21PJ,Universiteit Maastricht,economie,n.v.t. (economie),60018,M Information and Network Economics,voltijd onderwijs,master,wo master,5,2,5,3,4,2,5,2,1,4
Limburg,935,MAASTRICHT,reguliere inst.,21PJ,Universiteit Maastricht,economie,n.v.t. (economie),60019,M International Business,deeltijd onderwijs,master,wo master,18,9,17,3,17,15,9,6,13,5
Limburg,935,MAASTRICHT,reguliere inst.,21PJ,Universiteit Maastricht,economie,n.v.t. (economie),60019,M International Business,voltijd onderwijs,master,wo master,471,359,470,318,347,254,285,199,318,205
Limburg,935,MAASTRICHT,reguliere inst.,21PJ,Universiteit Maastricht,economie,n.v.t. (economie),60307,M Econometrics and Operations Research,voltijd onderwijs,master,wo master,17,9,20,6,14,5,14,13,18,9
Limburg,935,MAASTRICHT,reguliere inst.,21PJ,Universiteit Maastricht,economie,n.v.t. (economie),60321,M Financial Economics,voltijd onderwijs,master,wo master,11,9,25,13,29,10,28,9,26,11
Limburg,935,MAASTRICHT,reguliere inst.,21PJ,Universiteit Maastricht,economie,n.v.t. (economie),60445,M Global Supply Chain Management and Change,voltijd onderwijs,master,wo master,10,8,7,6,8,7,20,3,8,13
Limburg,935,MAASTRICHT,reguliere inst.,21PJ,Universiteit Maastricht,economie,n.v.t. (economie),60464,M Human Decision Science,voltijd onderwijs,master,wo master,0,0,11,6,16,12,7,9,12,15
Limburg,935,MAASTRICHT,reguliere inst.,21PJ,Universiteit Maastricht,economie,n.v.t. (economie),66401,M Economics,voltijd onderwijs,master,wo master,0,0,0,0,0,0,16,12,15,5
Limburg,935,MAASTRICHT,reguliere inst.,21PJ,Universiteit Maastricht,economie,n.v.t. (economie),66402,M Fiscale Economie,voltijd onderwijs,master,wo master,8,6,5,3,7,3,8,3,5,4
Limburg,935,MAASTRICHT,reguliere inst.,21PJ,Universiteit Maastricht,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56051,B Europese Studies,voltijd onderwijs,bachelor,wo bachelor,99,132,90,137,86,136,114,151,111,149
Limburg,935,MAASTRICHT,reguliere inst.,21PJ,Universiteit Maastricht,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56604,B Psychologie,voltijd onderwijs,bachelor,wo bachelor,98,245,59,186,73,180,69,164,37,182
Limburg,935,MAASTRICHT,reguliere inst.,21PJ,Universiteit Maastricht,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60003,M European Public Affairs,voltijd onderwijs,master,wo master,12,12,15,12,5,5,18,24,12,13
Limburg,935,MAASTRICHT,reguliere inst.,21PJ,Universiteit Maastricht,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60116,M Analysing Europe,voltijd onderwijs,master,wo master,2,6,0,4,0,0,0,0,0,0
